,handle,text,is_retweet,retweet_count,favorite_count,sentiment
0,HillaryClinton,"['question', 'elect', 'put', 'plan', 'action', 'make', 'life', 'better']",False,218,651,positive
1,HillaryClinton,"['last', 'night', 'donald', 'trump', 'said', 'pay', 'tax', 'smart', 'know', 'call', 'unpatriot']",True,2445,5308,positive
2,HillaryClinton,"['proud', 'vision', 'command', 'last', 'night', 'debat', 'show', 'readi', 'next']",True,7834,27234,positive
3,HillaryClinton,"['stand', 'togeth', 'noth', 'make', 'sure', 'readi', 'vote']",False,916,2542,neutral
4,HillaryClinton,"['candid', 'ask', 'confront', 'racial', 'injust', 'one', 'real', 'answer']",False,859,2882,negative
5,realDonaldTrump,"['join', 'pm', 'ralli', 'tomorrow', 'mid', 'america', 'center', 'council', 'bluff', 'iowa', 'ticket']",False,2181,6172,neutral
6,HillaryClinton,"['elect', 'import', 'sit', 'go']",False,1303,2849,neutral
7,HillaryClinton,"['donald', 'trump', 'goe', 'low', 'regist', 'vote']",False,1833,4954,neutral
8,realDonaldTrump,"['govern', 'peopl', 'join', 'movement', 'today']",False,4132,11239,neutral
9,HillaryClinton,"['trump', 'offer', 'singl', 'propo', 'reduc', 'friction', 'start', 'busi']",True,1087,2824,negative
10,HillaryClinton,"['elect', 'week', 'away', 'check', 'regist', 'vote']",True,3347,7698,neutral
11,realDonaldTrump,"['nation', 'make', 'sure', 'regist', 'vote']",True,2953,6963,neutral
12,realDonaldTrump,"['hillari', 'clinton', 'campaign', 'continu', 'make', 'fal', 'claim', 'foundat', 'disclosur']",False,3833,9840,neutral
13,realDonaldTrump,"['cnbc', 'time', 'magazin', 'onlin', 'poll', 'say', 'donald', 'trump', 'first', 'presidenti', 'debat', 'via']",False,4236,10948,neutral
14,HillaryClinton,"['donald', 'trump', 'lie', 'american', 'peopl', 'least', 'time', 'first', 'presidenti', 'debat', 'count']",False,5379,8917,negative
15,realDonaldTrump,"['great', 'afternoon', 'littl', 'havana', 'hispan', 'commun', 'leader', 'thank', 'support']",False,4878,14110,positive
16,realDonaldTrump,"['last', 'hr', 'rai', 'onlin', 'donat', 'nation', 'call', 'day', 'still', 'go', 'thank', 'america']",False,6939,23330,positive
17,HillaryClinton,"['gain', 'pound', 'month', 'like', 'eat', 'machin', 'trump', 'man', 'want', 'presid']",False,2058,3714,positive
18,HillaryClinton,"['celebr', 'regist', 'vote']",False,1792,3500,neutral
19,HillaryClinton,"['love', 'countri', 'proud', 'countri', 'want', 'leader', 'bring', 'peopl', 'togeth', 'hillari']",False,1437,5053,positive
20,HillaryClinton,"['want', 'turn', 'want', 'work', 'one', 'anoth', 'want', 'set', 'big', 'goal', 'countri']",False,976,3313,neutral
21,HillaryClinton,"['hear', 'oppon', 'danger', 'incoh', 'unclear', 'say', 'word', 'matter', 'hillari']",False,957,2968,negative
22,HillaryClinton,"['one', 'candid', 'made', 'clear', 'prepar', 'last', 'night', 'debat', 'made', 'clear', 'prepar', 'b']",False,3336,9961,positive
23,HillaryClinton,"['kind', 'person', 'would', 'want', 'root', 'million', 'famili', 'lose', 'home', 'one', 'never', 'presid', 'hillari', 'trump']",False,1127,3216,negative
24,HillaryClinton,"['think', 'famili', 'pay', 'incom', 'child', 'care', 'hillari']",False,586,1681,neutral
25,HillaryClinton,"['realli', 'glad', 'dad', 'never', 'contract', 'donald', 'trump', 'hillari']",False,1580,2967,positive
26,HillaryClinton,"['work', 'hard', 'live', 'poverti']",False,557,1633,neutral
27,realDonaldTrump,"['well', 'say', 'nbc', 'presidenti', 'forum', 'last', 'night', 'big', 'debat', 'nice']",False,8534,28578,positive
